dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
1019_NT_AL,158,912,4,144096,928.0799557141249,811.4651312070937
10200_NT_AL,157,489,2,76773,494.4723131803833,432.341026247517
10201_NT_AL,155,564,3,87420,563.0465087755996,492.298757565263
10202_NT_AL,39,924,4,36036,232.09727739919364,202.93385984467875
10203_NT_AL,162,1416,6,229392,1477.4464051824793,1291.8027521781148
10204_NT_AL,149,381,2,56769,365.6324325861589,319.690095724347
10205_NT_AL,160,663,3,106080,683.230080655635,597.3810592830371
10206_NT_AL,161,1236,5,198996,1281.6747089946148,1120.630102498937
10207_NT_AL,156,5952,24,928512,5980.272705974028,5228.841271842112
10208_NT_AL,158,3459,14,546522,3519.987463613112,3077.695053558484
10209_NT_AL,141,360,2,50760,326.93023090196107,285.85089148950755
10210_NT_AL,160,3276,13,524160,3375.9603985337258,2951.765234104418
10213_NT_AL,161,930,4,149730,964.3668926901228,843.192552851142
102157402_NT_AL,154,519,3,79926,514.7798588469295,450.09689427089006
10217_NT_AL,151,756,3,114156,735.2452214114317,642.860409158318
10219_NT_AL,131,624,3,81744,526.4890621522834,460.3348162710462
1021_NT_AL,158,1029,5,162582,1047.1428447695555,915.5675658027407
10223_NT_AL,158,1110,5,175380,1129.5709987310074,987.6384820612653
10225_NT_AL,154,1902,8,292908,1886.5342803985739,1649.4880402759786
102288414_NT_AL,127,393,2,49911,321.4620716025961,281.06981570395607
10228_NT_AL,161,765,3,123165,793.26954076123,693.5938741194877
10229_NT_AL,160,687,3,109920,707.9623912676036,619.0057130127398
1022_NT_AL,158,1044,5,164952,1062.40731772538,928.9140317765415
10231_NT_AL,159,798,4,126882,817.2096445489091,714.5258631594108
10234_NT_AL,159,1341,6,213219,1373.2808688472269,1200.7257926024686
10236_NT_AL,160,1926,8,308160,1984.7679266104872,1735.3784618086415
10240_NT_AL,154,1203,5,185262,1193.2180543214956,1043.288176893797
10241_NT_AL,156,1824,8,284544,1832.6642163468796,1602.38684137097
10242_NT_AL,158,708,3,111864,720.4831235149128,629.9531939634018
10243_NT_AL,152,2418,10,367536,2367.1912794480527,2069.7496701041696
10244_NT_AL,160,1134,5,181440,1168.6016764155204,1021.7648887284524
10245_NT_AL,158,534,3,84372,543.4152372273495,475.13418866731143
